x;y;imb_id;num_voie;cp_no_voie;type_voie;nom_voie;batiment;code_insee;code_poste;nom_com;catg_loc_imb;imb_etat;pm_ref;pm_etat;code_l331;geom_mod;type_imb;date_completude;date_completude_manquante;latitude;longitude;result_label;result_score;result_score_next;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district;result_status
55,29537709;-21,10220969;974230052K-14;14;;Chemin;DES BOUGAINVILLIERS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBIA;deploye;REUN;f;PA;2017-08-03;f;-21.102239;55.295252;14 Chemin des Bougainvilliers 97426 Les Trois-Bassins;0.9590863636363635;;housenumber;97423_0052_00014;14;14 Chemin des Bougainvilliers;Chemin des Bougainvilliers;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,26989903;-21,12715215;974230027H-7;7;;Chemin;DES BANANIERS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBBA;deploye;REUN;f;PA;2018-10-18;f;-21.127166;55.269916;7 Allée des Bananiers 97426 Les Trois-Bassins;0.7263863992869876;;housenumber;97423_qepkdh_00007;7;7 Allée des Bananiers;Allée des Bananiers;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,26994391;-21,12743262;974230027H-8;8;;Chemin;DES BANANIERS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBBA;deploye;REUN;f;PA;2018-10-18;f;-21.127459;55.269945;8 Allée des Bananiers 97426 Les Trois-Bassins;0.7263863992869876;;housenumber;97423_qepkdh_00008;8;8 Allée des Bananiers;Allée des Bananiers;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,27003389;-21,1271445;974230027H-9;9;;Chemin;DES BANANIERS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBBA;deploye;REUN;f;PA;2018-10-18;f;-21.12714;55.27006;9 Allée des Bananiers 97426 Les Trois-Bassins;0.7263863992869876;;housenumber;97423_qepkdh_00009;9;9 Allée des Bananiers;Allée des Bananiers;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29977399;-21,11425813;974230028J-1;1;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.114208;55.299965;1 Chemin des Bambous 97426 Les Trois-Bassins;0.9594236363636363;;housenumber;97423_0028_00001;1;1 Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29964491;-21,11373294;974230028J-15;15;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.113721;55.299616;15 Chemin des Bambous 97426 Les Trois-Bassins;0.9594236363636363;;housenumber;97423_0028_00015;15;15 Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29995699;-21,11419673;974230028J-3;3;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.114284;55.299772;3 Chemin des Bambous 97426 Les Trois-Bassins;0.9594236363636363;;housenumber;97423_0028_00003;3;3 Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29853906;-21,11529351;974230028J-43;43;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.115034;55.298878;43 Chemin des Bambous 97426 Les Trois-Bassins;0.9594236363636363;;housenumber;97423_0028_00043;43;43 Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29875287;-21,115115;974230028J-45;45;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.115127;55.298737;45 Chemin des Bambous 97426 Les Trois-Bassins;0.9594236363636363;;housenumber;97423_0028_00045;45;45 Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29837512;-21,11534606;974230028J-51;51;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.115427;55.298182;51 Chemin des Bambous 97426 Les Trois-Bassins;0.9594236363636363;;housenumber;97423_0028_00051;51;51 Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29821108;-21,11538054;974230028J-51B;51;B;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.115357;55.298197;51b Chemin des Bambous 97426 Les Trois-Bassins;0.9013965570599612;;housenumber;97423_0028_00051_b;51b;51b Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29810407;-21,11547882;974230028J-53;53;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.115476;55.298097;53 Chemin des Bambous 97426 Les Trois-Bassins;0.9594236363636363;;housenumber;97423_0028_00053;53;53 Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29832802;-21,11525526;974230028J-53A;53;A;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.115531;55.298096;53a Chemin des Bambous 97426 Les Trois-Bassins;0.9013965570599612;;housenumber;97423_0028_00053_a;53a;53a Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29807807;-21,11525275;974230028J-55;55;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.115237;55.298049;55 Chemin des Bambous 97426 Les Trois-Bassins;0.9594236363636363;;housenumber;97423_0028_00055;55;55 Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29792999;-21,11554933;974230028J-57;57;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.115549;55.297938;57 Chemin des Bambous 97426 Les Trois-Bassins;0.9594236363636363;;housenumber;97423_0028_00057;57;57 Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29782308;-21,11563859;974230028J-59;59;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.115782;55.297784;59 Chemin des Bambous 97426 Les Trois-Bassins;0.9594236363636363;;housenumber;97423_0028_00059;59;59 Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29966915;-21,11413965;974230028J-7;7;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.114139;55.299682;7 Chemin des Bambous 97426 Les Trois-Bassins;0.9594236363636363;;housenumber;97423_0028_00007;7;7 Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29695186;-21,11609049;974230028J-70;70;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.116197;55.296781;70 Chemin des Bambous 97426 Les Trois-Bassins;0.9594236363636363;;housenumber;97423_0028_00070;70;70 Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29755295;-21,11571716;974230028J-71;71;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.11572;55.297528;71 Chemin des Bambous 97426 Les Trois-Bassins;0.9594236363636363;;housenumber;97423_0028_00071;71;71 Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29736803;-21,11584176;974230028J-71A;71;A;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.115853;55.297344;71a Chemin des Bambous 97426 Les Trois-Bassins;0.9013965570599612;;housenumber;97423_0028_00071_a;71a;71a Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
