;nom_voie;type_result;result_street;result_score;result_type;result_status
31;DES BARRIERES;Chemin;des Barrières;0.96626;housenumber;ok
299;BENARD;Chemin;Bénard;0.9562727272727272;housenumber;ok
369;DES BRINGELIERS;Rue;des Bringéliers;0.9598863636363636;housenumber;ok
424;DES CAMELIAS;Allée;des Camélias;0.9568799999999998;housenumber;ok
524;DU CIMETIERE;Rue;du Cimetière;0.9608118181818182;housenumber;ok
549;DU CHATEAU D'EAU;Rue;du Château d'Eau;0.7644425728987992;housenumber;ok
614;DES CYPRES;Allée;des Cyprès;0.9571554545454546;housenumber;ok
659;DE L'ECOLE DU BOIS DE NEFL;Chemin;de l'École du Bois de Nèfles;0.9025062463343108;housenumber;ok
695;DES ECOLIERS;Chemin;des Écoliers;0.9565863636363636;housenumber;ok
707;DE L EGLISE;Rue;de l'Église;0.9515927272727271;housenumber;ok
749;FLOREBO;Impasse;Florébo;0.952421818181818;housenumber;ok
786;DES FOUGERES;Impasse;des Fougères;0.9571554545454546;housenumber;ok
801;FRANCOIS DE MAHY;Rue;François de Mahy;0.920969595959596;street;ok
853;DES FRANCICEAS;Rue;des Francicéas;0.7628297504456327;housenumber;ok
915;DU GENERAL DE GAULLE;Rue;du Général de Gaulle;0.9649763636363636;housenumber;ok
1047;DES GERANIUMS;Chemin;des Géraniums;0.9531218181818182;housenumber;ok
1162;HERVE PAYET;Rue;Hervé Payet;0.9592581818181816;housenumber;ok
1286;JEROME JARRY;Rue;Jérôme Jarry;0.9612663636363636;housenumber;ok
1573;MNEMONIDE;Chemin;Mnémonide;0.9626545454545454;housenumber;ok
1629;DES MURIERS;Impasse;des Mûriers;0.9531218181818182;housenumber;ok
1648;9 DE LA MONTEE PANON;CD;9 de la Montée Panon;0.6257955994729907;street;ok
1657;DES ORCHIDEES;Chemin;des Orchidées;0.9562727272727272;housenumber;ok
1715;DU PERE COLLINEAU;Rue;du Père Collineau;0.96488;housenumber;ok
1799;DU PERE JONAS HOAREAU;Rue;du Père Jonas Hoareau;0.9559363636363636;housenumber;ok
1893;DES POINSETIAS;Chemin;des Poinsettias;0.8651292578849721;street;ok
2067;DU TOURING HOTEL;Rue;du Touring Hôtel;0.966331818181818;housenumber;ok
2228;DES VETYVERS;Chemin;des Vétyvers;0.9576609090909092;housenumber;ok
2425;NATIONALE 1 A;Route;Nationale 1a;0.840145652173913;street;ok
2478;DES TUITS TUITS;Allée;des Tuits-Tuits;0.9576609090909092;housenumber;ok
2521;DES PAILLE EN QUEUE;Impasse;des Pailles En Queue;0.9032240404040404;housenumber;ok
2548;DES AUBEPINES;Allée;des Aubépines;0.9576609090909092;housenumber;ok
2587;DES AROMES;Allée;des Arômes;0.9542645454545452;housenumber;ok
2606;DES GRENADIERS;Allée;des Bananiers;0.7581154545454546;housenumber;ok
2651;CHEMIN DES BARRIERES;Lotissement;Chemin des Barrières;0.9565863636363636;housenumber;ok
2685;LOT AGRICOLE COCAT;Rue;Cocat Lotissement Horyzon Bleu;0.5433632231404958;housenumber;ok
2710;CALUMETS;Lotissement;les Calumets;0.8875790909090908;housenumber;ok
2719;DES JASMINS;Impasse;des Lys;0.7241644100580269;street;ok
2722;GERBERAS - CHEMIN DES BARRIERES;Chemin;des Barrières - Lotissement Les Gerberas;0.9094255844155844;housenumber;ok
2769;NOEL DESPLAS;Allée;Noël Desplas;0.87292101010101;street;ok
2787;DES AZALEES;Chemin;des Azalées;0.9008811025145068;housenumber;ok
2827;DES TECS TECS;Allée;des Tecs-tecs;0.9492709090909088;housenumber;ok
2866;DES TREFLES;Impasse;des Trèfles;0.9505781818181818;housenumber;ok
2932;ARMANETTES;Chemin;Armanet;0.813739393939394;housenumber;ok
2953;DES BELIERS;Allée;des Béliers;0.952421818181818;housenumber;ok
3006;DE L ALBATROS;Impasse;de l'Albatros;0.9505781818181818;housenumber;ok
3009;DES ALAMANDAS;Chemin;des Allamandas;0.9375376402321084;housenumber;ok
