,imb_id,x,y,num_voie,cp_no_voie,type_voie,nom_voie,batiment,code_insee,code_poste,nom_com,catg_loc_imb,imb_etat,pm_ref,pm_etat,code_l331,geom_mod,type_imb,date_completude,date_completude_manquante
0,974230052K-14,55.2953770884051,-21.1022096901464,12,bis,Chemin,DES BOUGAINVILLIERS,,97423.0,97426.0,Les Trois-Bassins,individuel,deploye,RU-97423-TBIA,deploye,REUN,f,PA,2017-08-03,f
1,974230027H-7,55.269899026506,-21.1271521528745,7,,Allée,DES BANANIERS,,97423.0,97426.0,Les Trois-Bassins,individuel,deploye,RU-97423-TBBA,deploye,REUN,f,PA,2018-10-18,f
2,974230027H-8,55.2699439065545,-21.1274326170784,8,,Allée,DES BANANIERS,,97423.0,97426.0,Les Trois-Bassins,individuel,deploye,RU-97423-TBBA,deploye,REUN,f,PA,2018-10-18,f
3,974230027H-9,55.2700338916291,-21.1271444980106,9,,Allée,DES BANANIERS,,97423.0,97426.0,Les Trois-Bassins,individuel,deploye,RU-97423-TBBA,deploye,REUN,f,PA,2018-10-18,f
4,974230028J-1,55.2997739903484,-21.1142581250008,3,,Chemin,DES BAMBOUS,,97423.0,97426.0,Les Trois-Bassins,individuel,deploye,RU-97423-TBKA,deploye,REUN,f,PA,2022-01-17,f
5,974230028J-15,55.2996449084553,-21.1137329412548,15,,Chemin,DES BAMBOUS,,97423.0,97426.0,Les Trois-Bassins,individuel,deploye,RU-97423-TBKA,deploye,REUN,f,PA,2022-01-17,f
6,974230028J-3,55.2999569852287,-21.1141967330354,1,,Chemin,DES BAMBOUS,,97423.0,97426.0,Les Trois-Bassins,individuel,deploye,RU-97423-TBKA,deploye,REUN,f,PA,2022-01-17,f
7,974230028J-43,55.2985390594432,-21.1152935064764,43,,Chemin,DES BAMBOUS,,97423.0,97426.0,Les Trois-Bassins,individuel,deploye,RU-97423-TBKA,deploye,REUN,f,PA,2022-01-17,f
8,974230028J-45,55.2987528717602,-21.115115002118,45,,Chemin,DES BAMBOUS,,97423.0,97426.0,Les Trois-Bassins,individuel,deploye,RU-97423-TBKA,deploye,REUN,f,PA,2022-01-17,f
9,974230028J-51,55.298375115182,-21.1153460555445,51,,Chemin,DES BAMBOUS,,97423.0,97426.0,Les Trois-Bassins,individuel,deploye,RU-97423-TBKA,deploye,REUN,f,PA,2022-01-17,f
10,974230028J-51B,55.2982110760702,-21.1153805383841,51,b,Chemin,DES BAMBOUS,,97423.0,97426.0,Les Trois-Bassins,individuel,deploye,RU-97423-TBKA,deploye,REUN,f,PA,2022-01-17,f
11,974230028J-53,55.298104066448,-21.1154788217422,53,,Chemin,DES BAMBOUS,,97423.0,97426.0,Les Trois-Bassins,individuel,deploye,RU-97423-TBKA,deploye,REUN,f,PA,2022-01-17,f
12,974230028J-53A,55.2983280197029,-21.115255257044,49,A,Chemin,DES BAMBOUS,,97423.0,97426.0,Les Trois-Bassins,individuel,deploye,RU-97423-TBKA,deploye,REUN,f,PA,2022-01-17,f
